DAY,HOUR,OPEN,HIGH,LOW,CLOSE
4/20/2015,14:00,1.074,1.07603,1.07273,1.07526
4/20/2015,15:00,1.07525,1.07679,1.07505,1.07619
4/20/2015,16:00,1.07616,1.07679,1.07454,1.07479
4/20/2015,17:00,1.07475,1.07486,1.07272,1.0728
4/20/2015,18:00,1.07276,1.07354,1.07246,1.07344
4/20/2015,19:00,1.07345,1.0739,1.07305,1.07374
4/20/2015,20:00,1.07371,1.07431,1.07346,1.07365
4/20/2015,21:00,1.07362,1.07427,1.0734,1.0738
4/20/2015,22:00,1.07381,1.07428,1.07364,1.07373
4/20/2015,23:00,1.07374,1.07507,1.0735,1.07478
4/21/2015,0:00,1.07476,1.07478,1.07296,1.0739
4/21/2015,1:00,1.0739,1.0743,1.07186,1.07193
4/21/2015,2:00,1.07195,1.07309,1.07195,1.07265
4/21/2015,3:00,1.07267,1.07282,1.07221,1.07231
4/21/2015,4:00,1.07231,1.07335,1.0723,1.07313
4/21/2015,5:00,1.07314,1.07366,1.07129,1.07179
4/21/2015,6:00,1.07176,1.07193,1.06733,1.06813
4/21/2015,7:00,1.06812,1.06812,1.06591,1.06636
4/21/2015,8:00,1.06637,1.06866,1.06633,1.06807
4/21/2015,9:00,1.06786,1.06945,1.06643,1.0687
4/21/2015,10:00,1.06868,1.06906,1.06747,1.06808
4/21/2015,11:00,1.06807,1.07109,1.06773,1.07012
4/21/2015,12:00,1.07013,1.07167,1.06954,1.0714
4/21/2015,13:00,1.07136,1.07136,1.06832,1.06878
4/21/2015,14:00,1.0688,1.07471,1.06831,1.07409
4/21/2015,15:00,1.07411,1.07671,1.07313,1.07566
4/21/2015,16:00,1.07564,1.07806,1.07454,1.07531
4/21/2015,17:00,1.07533,1.07556,1.07425,1.07471
4/21/2015,18:00,1.07471,1.0753,1.07313,1.0733
4/21/2015,19:00,1.07327,1.07395,1.07325,1.07353
4/21/2015,20:00,1.0735,1.07382,1.0731,1.07351
4/21/2015,21:00,1.07329,1.07376,1.07308,1.0737
4/21/2015,22:00,1.07368,1.07375,1.07328,1.07372
4/21/2015,23:00,1.07371,1.07412,1.07332,1.07378
4/22/2015,0:00,1.07376,1.0738,1.07157,1.07185
4/22/2015,1:00,1.07183,1.07271,1.07164,1.07211
4/22/2015,2:00,1.0721,1.07325,1.07167,1.07272
4/22/2015,3:00,1.07275,1.07281,1.07194,1.07243
4/22/2015,4:00,1.07245,1.07376,1.07236,1.07362
4/22/2015,5:00,1.07362,1.07475,1.07315,1.07384
4/22/2015,6:00,1.07386,1.07743,1.07259,1.07678
4/22/2015,7:00,1.07677,1.07725,1.07492,1.07511
4/22/2015,8:00,1.07512,1.07946,1.07443,1.0775
4/22/2015,9:00,1.0775,1.08,1.07748,1.07898
4/22/2015,10:00,1.07897,1.07984,1.0764,1.07671
4/22/2015,11:00,1.0767,1.07763,1.07499,1.07524
4/22/2015,12:00,1.07526,1.07588,1.07113,1.07262
4/22/2015,13:00,1.07261,1.07481,1.07079,1.07448
4/22/2015,14:00,1.07437,1.07452,1.07187,1.07222
4/22/2015,15:00,1.0722,1.07322,1.07122,1.07269
4/22/2015,16:00,1.0727,1.07319,1.07161,1.07272
4/22/2015,17:00,1.07273,1.07397,1.07242,1.07299
4/22/2015,18:00,1.07301,1.07409,1.07301,1.07381
4/22/2015,19:00,1.0738,1.07424,1.07221,1.0727
4/22/2015,20:00,1.0727,1.07278,1.07212,1.07239
